1	Key	7657	41705
2	Key	33068	41702
3	Key	58507	41700
4	Key	83936	41697
5	Key	109368	41695
6	Key	140978	41691
7	Key	166446	41689
8	Key	198019	41685
9	Key	223723	41683
10	Key	248874	41680
11	Key	-4741	18977
12	Key	14263	18976
13	Key	33273	18974
14	Key	52448	18972
15	Key	71256	18970
16	Key	90264	18969
17	Key	109268	18967
18	Key	128250	18965
19	Key	147266	18963
20	Key	166246	18961
21	Key	185251	18959
22	Key	204269	18957
23	Key	223249	18955
24	Key	242255	18953
25	Key	261265	18951
26	Key	0	0
27	Key	23740	-2
28	Key	42784	-4
29	Key	61773	-6
30	Key	80749	-8
31	Key	99745	-10
32	Key	118738	-12
33	Key	137770	-14
34	Key	156760	-16
35	Key	175756	-18
36	Key	194759	-20
37	Key	213761	-22
38	Key	232757	-24
39	Key	2396	-18958
40	Key	28528	-18961
41	Key	47525	-18963
42	Key	66540	-18965
43	Key	85535	-18967
44	Key	104542	-18969
45	Key	123532	-18971
46	Key	142554	-18973
47	Key	161503	-18975
48	Key	180540	-18977
49	Key	199506	-18979
50	Key	218527	-18981
51	Key	237544	-18983
52	Key	258918	-9610
53	Key	7177	-37978
54	Key	38019	-37982
55	Key	57038	-37984
56	Key	76041	-37985
57	Key	95026	-37987
58	Key	114025	-37989
59	Key	133009	-37991
60	Key	152035	-37993
61	Key	171012	-37995
62	Key	190019	-37997
63	Key	208999	-37999
64	Key	228029	-38001
65	Key	254165	-38004
66	Key	38033	-56957
67	Key	57028	-56959
68	Key	76031	-56961
69	Key	142526	-56968
70	Key	199503	-56974
71	Key	228003	-56977
72	Key	254103	-56979
73	Key	291709	-52856
74	Key	315647	-63771
75	Key	339602	-52861
76	Key	315650	-41813
77	Key	287116	-12366
78	Key	306143	-12368
79	Key	325108	-12370
80	Key	344196	-12372
81	Key	287118	6643
82	Key	306123	6641
83	Key	325107	6639
84	Key	344164	6637
85	Key	287120	25643
86	Key	306148	25641
87	Key	325121	25639
88	Key	344154	25637
89	Key	287122	44597
90	Key	306112	44595
91	Key	325107	44593
92	Key	344210	44591
93	Hole	-11733	54401
94	Hole	65094	54240
95	Hole	124983	54234
96	Hole	204383	54225
97	Hole	276298	54218
98	Hole	334796	54212
99	Hole	331714	-72807
100	Hole	276328	-72802
101	Hole	213939	-72795
102	Hole	128392	-72786
103	Hole	65096	-72780
104	Hole	9240	-72774
105	Hole	-11755	-8449
106	Hole	33315	-8453
107	Hole	128388	-8463
108	Hole	204407	-8471
109	Hole	276285	-9884
110	Hole	334772	-1835
111	Hole	289511	-27649
112	Hole	14379	-27381
113	Contact	7619	34667
114	Contact	33071	34732
115	Contact	58486	34848
116	Contact	83970	34694
117	Contact	109205	34799
118	Contact	140932	34751
119	Contact	166492	34749
120	Contact	197939	34746
121	Contact	223727	34743
122	Contact	248822	34715
123	Contact	-4838	12194
124	Contact	14340	12065
125	Contact	33183	12117
126	Contact	52547	12012
127	Contact	71095	12010
128	Contact	90249	12111
129	Contact	109229	12082
130	Contact	128304	12161
131	Contact	147224	12003
132	Contact	166240	11951
133	Contact	185162	12123
134	Contact	204189	12130
135	Contact	223138	12112
136	Contact	242164	12042
137	Contact	261176	11911
138	Contact	32	-6865
139	Contact	23833	-6935
140	Contact	42786	-6860
141	Contact	61853	-6974
142	Contact	80709	-6881
143	Contact	99847	-7051
144	Contact	118659	-6861
145	Contact	137672	-6862
146	Contact	156668	-6985
147	Contact	175846	-6998
148	Contact	194672	-6911
149	Contact	213701	-6970
150	Contact	232690	-6843
151	Contact	258870	-16345
152	Contact	2355	-25879
153	Contact	28510	-25937
154	Contact	47494	-25951
155	Contact	66474	-25816
156	Contact	85511	-25872
157	Contact	104526	-25827
158	Contact	123470	-25911
159	Contact	142530	-25937
160	Contact	161507	-25966
161	Contact	180620	-26065
162	Contact	199425	-25895
163	Contact	218444	-25914
164	Contact	237375	-25859
165	Contact	7165	-44848
166	Contact	38064	-44804
167	Contact	56978	-44843
168	Contact	76114	-44917
169	Contact	94942	-44905
170	Contact	114093	-44870
171	Contact	132964	-44943
172	Contact	151887	-44961
173	Contact	170851	-44913
174	Contact	189949	-44834
175	Contact	209008	-44944
176	Contact	227929	-44817
177	Contact	254151	-44949
178	Contact	37982	-63784
179	Contact	56920	-63762
180	Contact	75973	-63894
181	Contact	142497	-64008
182	Contact	199446	-63844
183	Contact	228051	-64025
184	Contact	253990	-63258
185	Contact	291517	-59638
186	Contact	315565	-57248
187	Contact	339567	-45982
188	Contact	315754	-34959
189	Contact	287187	-19243
190	Contact	306108	-19167
191	Contact	325141	-19206
192	Contact	344128	-19315
193	Contact	287030	-197
194	Contact	306034	-175
195	Contact	325135	-269
196	Contact	344129	-116
197	Contact	287119	18721
198	Contact	306053	18745
199	Contact	325164	18651
200	Contact	344160	18651
201	Contact	287219	37752
202	Contact	306173	37738
203	Contact	325051	37702
204	Contact	344150	37742
